Attribute,Value
MeanAmplitude,0.4281222834521119
StdAmplitude,0.19325891185678054
MeanSpeed,1.0810327389973469
StdSpeed,0.39196319250742995
MeanRMSVelocity,2.77812266588297
StdRMSVelocity,0.8688289801019788
MeanOpeningSpeed,2.350944803850093
stdOpeningSpeed,0.7577232403004002
meanClosingSpeed,2.1806767932960676
stdClosingSpeed,1.018767249944695
meanCycleDuration,0.3871794871794872
stdCycleDuration,0.12611110387033783
rangeCycleDuration,0.6166666666666667
rate,2.294117647058824
amplitudeDecay,1.0659975449367358
velocityDecay,1.057637447748653
rateDecay,1.0045495905368518
cvAmplitude,0.4514105416295102
cvCycleDuration,0.3257174205922633
cvSpeed,0.3625821664485149
cvRMSVelocity,0.31273960317581556
cvOpeningSpeed,0.3223058402134719
cvClosingSpeed,0.4671793881040207
