Attribute,Value
MeanAmplitude,0.4728446217995141
StdAmplitude,0.1514040511248285
MeanSpeed,1.2841861317299172
StdSpeed,0.4585628750971906
MeanRMSVelocity,3.512014007974271
StdRMSVelocity,1.0499813280436496
MeanOpeningSpeed,2.4967991421490376
stdOpeningSpeed,0.9352492766737197
meanClosingSpeed,3.119621707819484
stdClosingSpeed,1.5134104618997786
meanCycleDuration,0.38583333333333336
stdCycleDuration,0.09621662480511821
rangeCycleDuration,0.06666666666666687
rate,2.177858439201452
amplitudeDecay,0.824215189437089
velocityDecay,0.7132097007911863
rateDecay,1.0520446096654277
cvAmplitude,0.3201983149319265
cvCycleDuration,0.24937354161153746
cvSpeed,0.35708443174001897
cvRMSVelocity,0.2989684339696807
cvOpeningSpeed,0.37457930070767914
cvClosingSpeed,0.48512627608223824
