Attribute,Value
MeanAmplitude,0.42778720486839017
StdAmplitude,0.12792238764553818
MeanSpeed,0.9503932644831286
StdSpeed,0.3308328259610637
MeanRMSVelocity,2.6502651326224997
StdRMSVelocity,0.8166730116924963
MeanOpeningSpeed,3.018429743483067
stdOpeningSpeed,1.0643185828040402
meanClosingSpeed,1.4730809457992817
stdClosingSpeed,0.579689379958868
meanCycleDuration,0.46309523809523806
stdCycleDuration,0.07159702358930903
rangeCycleDuration,0.5833333333333335
rate,2.058823529411765
amplitudeDecay,1.0997374679027745
velocityDecay,1.036257704514305
rateDecay,1.1413612565445028
cvAmplitude,0.2990327578518713
cvCycleDuration,0.1546053979820555
cvSpeed,0.348100979167805
cvRMSVelocity,0.3081476647901937
cvOpeningSpeed,0.3526067105262114
cvClosingSpeed,0.3935217420413603
