Attribute,Value
MeanAmplitude,0.44073663396291085
StdAmplitude,0.1965897148829309
MeanSpeed,0.6014846391385137
StdSpeed,0.15774651736949175
MeanRMSVelocity,1.8053340027455584
StdRMSVelocity,0.42825240956595306
MeanOpeningSpeed,1.5663355995116193
stdOpeningSpeed,0.6048621153868402
meanClosingSpeed,1.124113385925601
stdClosingSpeed,0.421756930257505
meanCycleDuration,0.7269230769230769
stdCycleDuration,0.23899169079881089
rangeCycleDuration,0.6999999999999993
rate,1.358885017421603
amplitudeDecay,1.2607329474863367
velocityDecay,1.016837324251066
rateDecay,0.9285714285714285
cvAmplitude,0.446048047141628
cvCycleDuration,0.32877163813593036
cvSpeed,0.26226192175984214
cvRMSVelocity,0.2372150576650444
cvOpeningSpeed,0.38616380523780164
cvClosingSpeed,0.37519073746304343
