Attribute,Value
MeanAmplitude,0.5942563189307458
StdAmplitude,0.14680523485914573
MeanSpeed,1.6898095228033223
StdSpeed,0.39235066309641436
MeanRMSVelocity,4.551840154824356
StdRMSVelocity,0.9628557872924074
MeanOpeningSpeed,2.685039064367367
stdOpeningSpeed,0.8108235435346638
meanClosingSpeed,4.728128190740333
stdClosingSpeed,0.8831587197607496
meanCycleDuration,0.3547619047619047
stdCycleDuration,0.05489115182570716
rangeCycleDuration,0.13333333333333375
rate,2.763157894736842
amplitudeDecay,1.2518983397256287
velocityDecay,1.222544093585778
rateDecay,1.0232558139534884
cvAmplitude,0.2470402588621936
cvCycleDuration,0.15472673668991282
cvSpeed,0.23218632502764056
cvRMSVelocity,0.21153110710003864
cvOpeningSpeed,0.30197830426191774
cvClosingSpeed,0.18678823503354805
